days,time,errands,escort,home,leisure,shopping,workplace
saturday,12.5,0.0059834,0.0024459,0.0155113,0.0089218,0.0120935,0.0004
saturday,13.0,0.0059834,0.0024459,0.0155113,0.0089218,0.0120935,0.0004
saturday,13.5,0.0059834,0.0024459,0.0155113,0.0089218,0.0120935,0.0002
saturday,14.0,0.0043515,0.0020091,0.0129261,0.0118957,0.0058833,0.0002
saturday,14.5,0.0043515,0.0020091,0.0129261,0.0118957,0.0058833,0.0002
saturday,15.0,0.0043515,0.0020091,0.0129261,0.0118957,0.0058833,0.0002
saturday,15.5,0.0043515,0.0020091,0.0129261,0.0118957,0.0058833,0.0002
saturday,16.0,0.0043515,0.0020091,0.0129261,0.0118957,0.0058833,0.0002
saturday,16.5,0.0043515,0.0020091,0.0129261,0.0118957,0.0058833,0.0001
saturday,17.0,0.002901,0.0018344,0.0161576,0.0101963,0.0039222,0.0001
saturday,17.5,0.002901,0.0018344,0.0161576,0.0101963,0.0039222,0.0001
saturday,18.0,0.002901,0.0018344,0.0161576,0.0101963,0.0039222,0.0001
saturday,18.5,0.002901,0.0018344,0.0161576,0.0101963,0.0039222,0.0001
saturday,19.0,0.002901,0.0018344,0.0161576,0.0101963,0.0039222,0.0001
saturday,19.5,0.002901,0.0018344,0.0161576,0.0101963,0.0039222,0.0001
saturday,20.0,0.0009066,0.0006988,0.0084019,0.0042485,0.0006537,0.0001
saturday,20.5,0.0009066,0.0006988,0.0084019,0.0042485,0.0006537,0.0001
saturday,21.0,0.0009066,0.0006988,0.0084019,0.0042485,0.0006537,0.0001
saturday,21.5,0.0009066,0.0006988,0.0084019,0.0042485,0.0006537,0.0001
saturday,22.0,0.0009066,0.0006988,0.0084019,0.0042485,0.0006537,0.0002
saturday,22.5,0.0009066,0.0006988,0.0084019,0.0042485,0.0006537,0.0002
saturday,23.0,7.77e-05,0.0001497,0.0022159,0.0005462,0.0,0.0002
saturday,23.5,7.77e-05,0.0001497,0.0022159,0.0005462,0.0,0.0002
sunday,0.0,6.97e-05,7.09e-05,0.0014662,0.0002932,0.0,0.0001
sunday,0.5,6.97e-05,7.09e-05,0.0014662,0.0002932,0.0,0.0001
sunday,1.0,6.97e-05,7.09e-05,0.0014662,0.0002932,0.0,0.0001
sunday,1.5,6.97e-05,7.09e-05,0.0014662,0.0002932,0.0,0.0001
sunday,2.0,6.97e-05,7.09e-05,0.0014662,0.0002932,0.0,0.0001
sunday,2.5,6.97e-05,7.09e-05,0.0014662,0.0002932,0.0,0.0001
sunday,3.0,6.97e-05,7.09e-05,0.0014662,0.0002932,0.0,0.0001
sunday,3.5,6.97e-05,7.09e-05,0.0014662,0.0002932,0.0,0.0001
sunday,4.0,6.97e-05,7.09e-05,0.0014662,0.0002932,0.0,0.0001
sunday,4.5,6.97e-05,7.09e-05,0.0014662,0.0002932,0.0,0.0001
sunday,5.0,6.97e-05,7.09e-05,0.0014662,0.0002932,0.0,0.0001
sunday,5.5,6.97e-05,7.09e-05,0.0014662,0.0002932,0.0,0.0008
sunday,6.0,0.0003251,0.0001654,0.0006842,0.0013681,0.0005562,0.0008
sunday,6.5,0.0003251,0.0001654,0.0006842,0.0013681,0.0005562,0.0008
sunday,7.0,0.0003251,0.0001654,0.0006842,0.0013681,0.0005562,0.0008
sunday,7.5,0.0003251,0.0001654,0.0006842,0.0013681,0.0005562,0.0008
sunday,8.0,0.0003251,0.0001654,0.0006842,0.0013681,0.0005562,0.0008
sunday,8.5,0.0003251,0.0001654,0.0006842,0.0013681,0.0005562,0.0004
sunday,9.0,0.0036571,0.0014882,0.0051317,0.0123125,0.003838,0.0004
sunday,9.5,0.0036571,0.0014882,0.0051317,0.0123125,0.003838,0.0004
sunday,10.0,0.0036571,0.0014882,0.0051317,0.0123125,0.003838,0.0004
sunday,10.5,0.0036571,0.0014882,0.0051317,0.0123125,0.003838,0.0003
sunday,11.0,0.0047136,0.0021496,0.0123161,0.0198367,0.0011681,0.0003
sunday,11.5,0.0047136,0.0021496,0.0123161,0.0198367,0.0011681,0.0003
sunday,12.0,0.0047136,0.0021496,0.0123161,0.0198367,0.0011681,0.0003
